"id","label","counts"
"4777411281162819","effectives",52
"4777425625678267","effectives",3
"4777469313553845","effectives",3
"4777448648738704","effectives",8
"4777479951358519","effectives",2
"4777773280004918","effectives",2
"4777775552266608","effectives",2
"4777775707457467","effectives",2
"4777776189803418","effectives",2
"4777779067093019","effectives",2
"4777849213424546","effectives",2
"4777851058654920","effectives",2
"4777513539080146","effectives",2
"4778861739114783","effectives",3
"4780327976045079","effectives",2
"4779972164588059","effectives",2
"4779568026357639","effectives",2
"4781725668868462","effectives",2
"4782712609833061","effectives",3
"4783283394580183","effectives",2
"4782240603570684","effectives",3
"4782713678070564","effectives",2
"4783202050245386","effectives",2
"4777421443699305","effectives",2
"4785783254550690","effectives",4
"4785792486474977","effectives",2
"4785956404070563","effectives",3
"4785991770703424","effectives",2
"4785992752694722","effectives",2
"4783645753351239","effectives",3
"4786375516490199","effectives",2
"4782780946324815","effectives",3
"4787433952251915","effectives",2
"4786418645472018","effectives",2
"4777418654484138","effectives",1
"4777432148349731","effectives",1
"4777482701766739","effectives",1
"4777484316315917","effectives",1
"4777488154365938","effectives",1
"4777522917016920","effectives",1
"4777627392936780","effectives",1
"4777780523308086","effectives",1
"4777802106410498","effectives",1
"4777802652715589","effectives",1
"4777853646541509","effectives",1
"4777864567720187","effectives",1
"4778067799313103","effectives",1
"4778115912174284","effectives",1
"4778160179382396","effectives",1
"4778345340076285","effectives",1
"4778393046356202","effectives",1
"4778533718853581","effectives",1
"4778708509131037","effectives",1
"4778869699645261","effectives",1
"4779453571403106","effectives",1
"4779570450400086","effectives",1
"4779962294602921","effectives",1
"4780587531635755","effectives",1
"4780620000002686","effectives",1
"4780649309798587","effectives",1
"4780905409809149","effectives",1
"4781177652642029","effectives",1
"4781637760452936","effectives",1
"4781725366094904","effectives",1
"4782446812332681","effectives",1
"4783038989336911","effectives",1
"4783081053227516","effectives",1
"4783294284300337","effectives",1
"4783439091599008","effectives",1
"4783935755649111","effectives",1
"4783953200810742","effectives",1
"4784011174740024","effectives",1
"4784164865314695","effectives",1
"4784586250781025","effectives",1
"4785039377958726","effectives",1
"4785040833385749","effectives",1
"4785056943440758","effectives",1
"4785110757151285","effectives",1
"4785260438488871","effectives",1
"4785260976409329","effectives",1
"4785980529969175","effectives",1
"4786016462049628","effectives",1
"4786168263085898","effectives",1
"4786367265243867","effectives",1
"4786392570529350","effectives",1
"4786394843843283","effectives",1
"4786432272764862","effectives",1
"4786698090972860","effectives",1
"4786775862020084","effectives",1
"4786786624343847","effectives",1
"4786842513966274","effectives",1
"4787133070442615","effectives",1
"4787296450646603","effectives",1
"4787446414312779","effectives",1
"4787767642686961","effectives",1
"4787806696114996","effectives",1
"4787918927038772","effectives",1
"4787940326118147","effectives",1
"4788128336577290","effectives",1
"4789052958312105","effectives",1
"4795946808116019","effectives",1
"4795964709149401","effectives",1
"4776349752888122","side_effectives",51
"4776350734878260","side_effectives",3
"4776355478110659","side_effectives",2
"4776355487547652","side_effectives",3
"4776362415753803","side_effectives",2
"4776371513198794","side_effectives",4
"4776390307610758","side_effectives",3
"4776406657800999","side_effectives",2
"4776408742365989","side_effectives",3
"4776410575277411","side_effectives",2
"4776412051152462","side_effectives",2
"4776409287360817","side_effectives",2
"4776413888254844","side_effectives",2
"4776390034985385","side_effectives",2
"4776404556710968","side_effectives",4
"4776422256152919","side_effectives",2
"4776620252728829","side_effectives",2
"4776576803668524","side_effectives",2
"4776454107693766","side_effectives",2
"4777056406341314","side_effectives",2
"4777058405974857","side_effectives",2
"4776351972202440","side_effectives",2
"4776594864083075","side_effectives",2
"4777165834421435","side_effectives",2
"4776584261403439","side_effectives",2
"4778850636272599","side_effectives",2
"4776413926527550","side_effectives",2
"4776622027180845","side_effectives",2
"4776350776299797","side_effectives",1
"4776351191537914","side_effectives",1
"4776351708744070","side_effectives",1
"4776351854758010","side_effectives",1
"4776352311413652","side_effectives",1
"4776353855704623","side_effectives",1
"4776356207924927","side_effectives",1
"4776357894291977","side_effectives",1
"4776360243628505","side_effectives",1
"4776361506374029","side_effectives",1
"4776363599333593","side_effectives",1
"4776365549683767","side_effectives",1
"4776367868611094","side_effectives",1
"4776368606543953","side_effectives",1
"4776368741286585","side_effectives",1
"4776369437279182","side_effectives",1
"4776372209455644","side_effectives",1
"4776373351355699","side_effectives",1
"4776376173331165","side_effectives",1
"4776377419830249","side_effectives",1
"4776383249908373","side_effectives",1
"4776383740122658","side_effectives",1
"4776384226394832","side_effectives",1
"4776389250908966","side_effectives",1
"4776399787263022","side_effectives",1
"4776406019735907","side_effectives",1
"4776410118619602","side_effectives",1
"4776414421190978","side_effectives",1
"4776422906792303","side_effectives",1
"4776427267820607","side_effectives",1
"4776436269580292","side_effectives",1
"4776451045851167","side_effectives",1
"4776605160836332","side_effectives",1
"4776609153815005","side_effectives",1
"4776620102255889","side_effectives",1
"4776625558259779","side_effectives",1
"4776678440567091","side_effectives",1
"4776716588027849","side_effectives",1
"4776727642899266","side_effectives",1
"4776728344396431","side_effectives",1
"4776971743527927","side_effectives",1
"4777059316402685","side_effectives",1
"4777059374599010","side_effectives",1
"4777268247265763","side_effectives",1
"4777617003119595","side_effectives",1
"4777625208227351","side_effectives",1
"4777692644247591","side_effectives",1
"4777801917664254","side_effectives",1
"4778190923632913","side_effectives",1
"4778789990566504","side_effectives",1
"4778823872679784","side_effectives",1
"4778963651798111","side_effectives",1
"4781485176127783","side_effectives",1
"4781486669303772","side_effectives",1
"4782405448106720","side_effectives",1
"4782717512978186","side_effectives",1
"4784185472714757","side_effectives",1
"4786806258928837","side_effectives",1
"4794564483482704","side_effectives",1
"4760756652343670","epidimic/virus",53
"4760773882286623","epidimic/virus",2
"4760774049796030","epidimic/virus",3
"4760782707363856","epidimic/virus",2
"4760773827756576","epidimic/virus",6
"4760775958727367","epidimic/virus",3
"4760826449756807","epidimic/virus",3
"4760844082088678","epidimic/virus",2
"4760823270739248","epidimic/virus",2
"4760941071958775","epidimic/virus",4
"4760929705918471","epidimic/virus",5
"4760958129668499","epidimic/virus",2
"4760925028745430","epidimic/virus",3
"4760774524536112","epidimic/virus",2
"4760981170033195","epidimic/virus",2
"4761052564947773","epidimic/virus",2
"4761074567744051","epidimic/virus",2
"4761068767282253","epidimic/virus",2
"4761199151942827","epidimic/virus",2
"4765800470156372","epidimic/virus",2
"4760773786076157","epidimic/virus",1
"4760773815440704","epidimic/virus",1
"4760773823563953","epidimic/virus",1
"4760773945987348","epidimic/virus",1
"4760773978756618","epidimic/virus",1
"4760774154913718","epidimic/virus",1
"4760774180865585","epidimic/virus",1
"4760774205507522","epidimic/virus",1
"4760774222286605","epidimic/virus",1
"4760774394775661","epidimic/virus",1
"4760774695977918","epidimic/virus",1
"4760775162596780","epidimic/virus",1
"4760775355269969","epidimic/virus",1
"4760775421859553","epidimic/virus",1
"4760776092683924","epidimic/virus",1
"4760776181547883","epidimic/virus",1
"4760776713177286","epidimic/virus",1
"4760777838044214","epidimic/virus",1
"4760778073442157","epidimic/virus",1
"4760780685446718","epidimic/virus",1
"4760782740392970","epidimic/virus",1
"4760786180510046","epidimic/virus",1
"4760790638265979","epidimic/virus",1
"4760793544917714","epidimic/virus",1
"4760796117339557","epidimic/virus",1
"4760800008867008","epidimic/virus",1
"4760806787125292","epidimic/virus",1
"4760806853969759","epidimic/virus",1
"4760806921341645","epidimic/virus",1
"4760808539558142","epidimic/virus",1
"4760809131480010","epidimic/virus",1
"4760811967612848","epidimic/virus",1
"4760814068174553","epidimic/virus",1
"4760815872246278","epidimic/virus",1
"4760819362169803","epidimic/virus",1
"4760820829916037","epidimic/virus",1
"4760823924786564","epidimic/virus",1
"4760830686005562","epidimic/virus",1
"4760831194302812","epidimic/virus",1
"4760833751515563","epidimic/virus",1
"4760844905482235","epidimic/virus",1
"4760848473522210","epidimic/virus",1
"4760875686429602","epidimic/virus",1
"4760886402875975","epidimic/virus",1
"4760948793671985","epidimic/virus",1
"4760949976727842","epidimic/virus",1
"4760956151005654","epidimic/virus",1
"4760956464794250","epidimic/virus",1
"4760956632302222","epidimic/virus",1
"4760956729035421","epidimic/virus",1
"4760959790877612","epidimic/virus",1
"4760960784665876","epidimic/virus",1
"4760967819297388","epidimic/virus",1
"4760972935300334","epidimic/virus",1
"4760995845116341","epidimic/virus",1
"4761026686093244","epidimic/virus",1
"4761031869468516","epidimic/virus",1
"4761043198807125","epidimic/virus",1
"4761048445618246","epidimic/virus",1
"4761048714578842","epidimic/virus",1
"4761111817619507","epidimic/virus",1
"4761398704079818","epidimic/virus",1
"4761417834037482","epidimic/virus",1
"4761422229409855","epidimic/virus",1
"4761423021870790","epidimic/virus",1
"4765916799175988","epidimic/virus",1
"4717235572839189","policies",9
"4717512849626783","policies",1
"4717513033649629","policies",1
"4717513302086741","policies",1
"4717514515548749","policies",1
"4717515161472290","policies",1
"4717516947721501","policies",1
"4717517069619535","policies",1
"4717517388120722","policies",1
"4717517593379103","policies",1
"4691064088169266","conspiracy",7
"4691066370131018","conspiracy",2
"4691189343718774","conspiracy",2
"4691066126863220","conspiracy",1
"4691067288421710","conspiracy",1
"4691068236596386","conspiracy",1
"4691076181397935","conspiracy",1
"4691146108832249","conspiracy",1
"4691679095816300","conspiracy",1
"4692197007428481","conspiracy",1
